"접종일","1차 접종자","1차 누적 접종자","1차 접종자 백분률","2차 접종자","2차 누적 접종자","2차 접종자 백분률"
"2021.05.22",2477,623941,55.6,4099,231820,20.6
"2021.05.21",2271,621463,55.4,28449,227493,20.3
"2021.05.20",2205,619017,55.1,22755,198625,17.7
"2021.05.19",14,616705,55,3724,175445,15.6
"2021.05.18",2983,616699,55.1,16649,171720,15.3
"2021.05.17",3197,613630,54.7,13074,154898,13.8
"2021.05.16",3197,610403,54.5,13074,141769,12.7
"2021.05.15",0,610338,54.6,0,141769,12.7
"2021.05.14",1021,609382,54.1,3796,137973,11.2
"2021.05.13",3827,604185,54.2,12751,125220,11.2
"2021.05.12",3391,600548,53.8,12435,112781,10.1
"2021.05.11",1617,598266,53.7,13970,98810,8.9
"2021.05.10",2796,594975,53.4,13030,85775,7.7
"2021.05.09",3131,591040,53.1,12457,73295,6.6
"2021.05.08",0,589744,53,0,73003,6.6
"2021.05.07",4044,592073,52.9,2082,70926,6.3
"2021.05.06",11230,574583,51.9,11486,59707,5.4
"2021.05.05",11021,563044,50.9,11715,47940,4.3
"2021.05.04",1788,559605,50.6,1650,46290,4.1
"2021.05.03",20592,540404,49,4665,41624,3.8
"2021.05.02",19795,520200,47.2,5033,36591,3.3
"2021.05.01",491,519845,47.2,0,36591,3.3
"2021.04.30",6655,511162,46.6,691,35900,3.3
"2021.04.29",38789,472376,43.6,4280,31620,2.9
"2021.04.28",33484,438269,40.2,3921,27699,2.5
"2021.04.27",31795,403093,37.3,2062,25631,2.4
"2021.04.26",26585,379120,35.1,3725,21910,2
"2021.04.25",23323,350631,34.2,3411,18513,1.8
"2021.04.24",200,350427,34.2,0,18513,1.8
"2021.04.23",10195,345764,33.6,119,18376,1.8
"2021.04.22",27074,317386,31,2479,15901,1.6
"2021.04.21",22501,291857,28.6,2358,13543,1.3
