"기준년월","종로구","중구","용산구","성동구","광진구","동대문구","중랑구","성북구","강북구","도봉구","노원구","은평구","서대문구","마포구","양천구","양천구_1","강서구","구로구","금천구","영등포구","동작구","관악구","서추구","강남구","송파구","강동구"
"2020_02",0,0,0,1,1,1,0,0,0,0,4,0,2,0,2,0,0,0,0,0,0,1,1,4,3,1
"2020_03",2,4,12,3,4,25,12,13,5,6,13,14,9,14,353,16,20,32,11,18,22,25,20,32,13,6
"2020_04",3,2,6,13,3,5,3,9,0,3,3,7,5,9,617,4,4,2,0,5,8,15,14,26,12,3
"2020_05",3,3,20,21,6,3,3,5,9,10,8,7,9,3,733,6,19,6,3,11,9,16,4,10,11,11
"2020_06",3,3,12,9,3,4,14,4,10,43,13,18,8,11,1779,43,33,45,16,27,13,54,14,9,7,11
"2020_07",6,8,4,8,5,6,11,9,4,2,6,11,6,14,2176,1,25,5,8,9,17,31,7,15,44,14
"2020_08",35,30,46,31,74,73,97,238,78,68,180,119,51,77,2841,72,110,60,33,67,105,100,75,76,158,92
"2020_09",25,8,22,28,33,32,46,54,38,74,71,68,34,32,5009,37,72,30,19,52,59,139,57,95,80,43
"2020_1",7,7,21,21,11,27,22,17,15,22,32,16,11,26,5672,13,21,22,7,18,28,90,34,74,54,20
"2020_11",31,42,81,81,39,126,82,107,37,84,138,92,120,98,6575,110,291,69,25,82,124,69,233,158,212,69
"2020_12",267,174,192,225,277,323,491,347,235,246,334,417,248,402,15043,411,737,346,197,390,406,470,359,428,501,303
"2021_01",122,74,106,141,125,222,219,211,186,182,217,201,152,159,26717,233,216,184,74,194,215,171,142,225,252,183
"2021_02",42,88,235,119,153,178,167,208,123,140,185,154,98,101,28226,138,99,237,71,172,150,186,111,124,210,158
"2021_03",63,79,131,139,253,114,188,137,122,113,212,223,64,101,35448,114,125,123,25,127,172,123,158,222,191,249
"2021_04",62,72,106,190,247,256,340,206,133,179,258,342,104,169,38605,176,218,143,87,203,273,310,356,438,390,250
"2021_05",64,76,115,118,172,213,208,216,208,194,280,203,116,125,34693,147,160,147,108,210,186,213,202,423,310,238
