지점,지점명,일시,평균기온(°C),평균상대습도(%),평균풍속(m/s)
108,서울,2016-01,-3.2,53,2.5
108,서울,2016-02,0.2,52,2.8
108,서울,2016-03,7,51,2.4
108,서울,2016-04,14.1,55,2.4
108,서울,2016-05,19.6,56,2.4
108,서울,2016-06,23.6,63,2.1
108,서울,2016-07,26.2,73,2.1
108,서울,2016-08,28,64,2.1
108,서울,2016-09,23.1,65,2
108,서울,2016-10,16.1,62,2.1
108,서울,2016-11,6.8,57,2.2
108,서울,2016-12,1.2,59,2.2
108,서울,2017-01,-1.8,55,2.3
108,서울,2017-02,-0.2,54,2.4
108,서울,2017-03,6.3,48,2.4
108,서울,2017-04,13.9,52,2.6
108,서울,2017-05,19.5,52,2.4
108,서울,2017-06,23.3,57,2.4
108,서울,2017-07,26.9,77,2
108,서울,2017-08,25.9,71,2.3
108,서울,2017-09,22.1,61,2
108,서울,2017-10,16.4,56,1.9
108,서울,2017-11,5.6,54,2.1
108,서울,2017-12,-1.9,56,1.8
108,서울,2018-01,-4,48,1.9
108,서울,2018-02,-1.6,45,2.2
108,서울,2018-03,8.1,59,1.9
108,서울,2018-04,13,55,2
108,서울,2018-05,18.2,63,1.7
108,서울,2018-06,23.1,63,1.7
108,서울,2018-07,27.8,68,1.5
108,서울,2018-08,28.8,65,1.7
108,서울,2018-09,21.5,61,1.6
108,서울,2018-10,13.1,59,1.5
108,서울,2018-11,7.8,58,1.4
108,서울,2018-12,-0.6,46,1.8
108,서울,2019-01,-0.9,46,1.8
108,서울,2019-02,1,47,1.8
108,서울,2019-03,7.1,51,2.1
108,서울,2019-04,12.1,51,1.9
108,서울,2019-05,19.4,47,2.1
108,서울,2019-06,22.5,61,1.7
108,서울,2019-07,25.9,69,1.8
108,서울,2019-08,27.2,69,1.6
108,서울,2019-09,22.6,65,2.2
108,서울,2019-10,16.4,62,2.1
108,서울,2019-11,7.6,56,2.2
108,서울,2019-12,1.4,58,2.1
108,서울,2020-01,1.6,56,2.1
108,서울,2020-02,2.5,58,2.3
108,서울,2020-03,7.7,46,2.5
108,서울,2020-04,11.1,50,3
108,서울,2020-05,18,67,2.4
108,서울,2020-06,23.9,68,2.3
108,서울,2020-07,24.1,77,2.4
108,서울,2020-08,26.5,85,2.3
108,서울,2020-09,21.4,71,2.5
108,서울,2020-10,14.3,61,2.1
108,서울,2020-11,8,64,2.2
108,서울,2020-12,-0.3,58,2.2
