"날짜","강화","동두천","백령도","서울","수원","양평","이천","인천","파주"
"2020-06-24",78.8,48.4,79.1,37.6,14.1,29,16,23.5,71.2
"2020-06-25",6.5,10.6,2.2,13.3,4.4,5.4,5.9,6.9,10.8
"2020-06-26",1.3,1.6,0,2.1,2.1,0.8,1.4,1.6,1.9
"2020-06-27",0,0,0.5,0,0,0,0,0,0
"2020-06-29",12.3,4.7,17.9,11.9,29.5,8.4,21.6,22,6
"2020-06-30",39,57.1,8.1,64.7,26.8,39.7,32.2,32.5,33.7
"2020-07-01",0.5,0.5,0.8,0,0.5,0,1.8,0.1,0.2
"2020-07-02",0,0,0,0,0.6,0,0,0,0
"2020-07-03",0.3,0,0.1,0.1,0.5,0,0.5,0.8,0.1
"2020-07-04",0.8,0.2,0,1.6,1,0.5,0.7,0.5,0.8
"2020-07-06",0,0,0,0,0,0,0,0,0
"2020-07-07",0,0,0,0,0,0,0,0,0
"2020-07-10",32.7,40,0,2.2,0.8,0.1,0.3,1.7,35.3
"2020-07-11",0,0.1,0,0,0,0,0,0,0
"2020-07-12",2.6,0.8,5.3,2.9,4.8,4.1,5.1,2.7,1.6
"2020-07-13",47.4,15.5,8.1,47.6,47.2,32.2,61,50.6,23.6
"2020-07-14",7.4,10,0,11.5,16.2,9.7,18.4,9.2,12.4
"2020-07-15",0,0,0,0,0.2,1.7,0.3,0,0
"2020-07-16",0,0,0,0,0,0,0,0,0.1
"2020-07-17",0,0,0,0,0,2.2,3.9,0,0
"2020-07-18",0,8,0,0,0,0,0,0,0
"2020-07-19",14.1,20.4,78.2,29.1,35.6,13.2,8.8,22,17.4
"2020-07-20",7.9,2.7,6.4,3.6,1.8,1.6,2.1,2.3,6.3
"2020-07-21",0,0.2,0,0,0,0.1,0,0,0
"2020-07-22",5.8,1.8,0,11.5,92.9,9,76.1,25,0
"2020-07-23",106.1,95.2,71.1,103.1,90.1,73.7,86.3,101.8,94.7
"2020-07-24",6.5,7.8,20.7,2.9,1.4,0.5,5.4,7.8,5.4
"2020-07-25",0,0,0,0,0,0,0.1,0,0
"2020-07-26",0,1.1,0,0,0,0,0,0,0
"2020-07-27",2.5,2.5,0.1,2.2,1.9,1.1,0.2,4.9,6.3
"2020-07-28",0,0,0,0.4,1.9,1.7,3.3,0.1,0
"2020-07-29",25.9,36.2,0.3,50.1,87,25.5,76.4,13.8,25.9
"2020-07-30",0,0.3,0,0.1,0.2,1.7,63.3,0.2,0
