지점,지점명,날짜,강수량(mm)
108,서울(서울경기),2020-06-24,37.6
108,서울(서울경기),2020-06-25,13.3
108,서울(서울경기),2020-06-26,2.1
108,서울(서울경기),2020-06-27,0.0
108,서울(서울경기),2020-06-29,11.9
108,서울(서울경기),2020-06-30,64.7
108,서울(서울경기),2020-07-01,0.0
108,서울(서울경기),2020-07-03,0.1
108,서울(서울경기),2020-07-04,1.6
108,서울(서울경기),2020-07-07,0.0
108,서울(서울경기),2020-07-10,2.2
108,서울(서울경기),2020-07-12,2.9
108,서울(서울경기),2020-07-13,47.6
108,서울(서울경기),2020-07-14,11.5
108,서울(서울경기),2020-07-17,0.0
108,서울(서울경기),2020-07-19,29.1
108,서울(서울경기),2020-07-20,3.6
108,서울(서울경기),2020-07-21,0.0
108,서울(서울경기),2020-07-22,11.5
108,서울(서울경기),2020-07-23,103.1
108,서울(서울경기),2020-07-24,2.9
108,서울(서울경기),2020-07-25,0.0
108,서울(서울경기),2020-07-26,0.0
108,서울(서울경기),2020-07-27,2.2
108,서울(서울경기),2020-07-28,0.4
108,서울(서울경기),2020-07-29,50.1
108,서울(서울경기),2020-07-30,0.1
112,인천(서울경기),2020-06-24,23.5
112,인천(서울경기),2020-06-25,6.9
112,인천(서울경기),2020-06-26,1.6
112,인천(서울경기),2020-06-27,0.0
112,인천(서울경기),2020-06-29,22.0
112,인천(서울경기),2020-06-30,32.5
112,인천(서울경기),2020-07-01,0.1
112,인천(서울경기),2020-07-03,0.8
112,인천(서울경기),2020-07-04,0.5
112,인천(서울경기),2020-07-07,0.0
112,인천(서울경기),2020-07-10,1.7
112,인천(서울경기),2020-07-12,2.7
112,인천(서울경기),2020-07-13,50.6
112,인천(서울경기),2020-07-14,9.2
112,인천(서울경기),2020-07-15,0.0
112,인천(서울경기),2020-07-19,22.0
112,인천(서울경기),2020-07-20,2.3
112,인천(서울경기),2020-07-22,25.0
112,인천(서울경기),2020-07-23,101.8
112,인천(서울경기),2020-07-24,7.8
112,인천(서울경기),2020-07-25,0.0
112,인천(서울경기),2020-07-27,4.9
112,인천(서울경기),2020-07-28,0.1
112,인천(서울경기),2020-07-29,13.8
112,인천(서울경기),2020-07-30,0.2
119,수원(서울경기),2020-06-24,14.1
119,수원(서울경기),2020-06-25,4.4
119,수원(서울경기),2020-06-26,2.1
119,수원(서울경기),2020-06-27,0.0
119,수원(서울경기),2020-06-29,29.5
119,수원(서울경기),2020-06-30,26.8
119,수원(서울경기),2020-07-01,0.5
119,수원(서울경기),2020-07-02,0.6
119,수원(서울경기),2020-07-03,0.5
119,수원(서울경기),2020-07-04,1.0
119,수원(서울경기),2020-07-10,0.8
119,수원(서울경기),2020-07-12,4.8
119,수원(서울경기),2020-07-13,47.2
119,수원(서울경기),2020-07-14,16.2
119,수원(서울경기),2020-07-15,0.2
119,수원(서울경기),2020-07-19,35.6
119,수원(서울경기),2020-07-20,1.8
119,수원(서울경기),2020-07-22,92.9
119,수원(서울경기),2020-07-23,90.1
119,수원(서울경기),2020-07-24,1.4
119,수원(서울경기),2020-07-26,0.0
119,수원(서울경기),2020-07-27,1.9
119,수원(서울경기),2020-07-28,1.9
119,수원(서울경기),2020-07-29,87.0
119,수원(서울경기),2020-07-30,0.2
201,강화(서울경기),2020-06-24,78.8
201,강화(서울경기),2020-06-25,6.5
201,강화(서울경기),2020-06-26,1.3
201,강화(서울경기),2020-06-27,0.0
201,강화(서울경기),2020-06-29,12.3
201,강화(서울경기),2020-06-30,39.0
201,강화(서울경기),2020-07-01,0.5
201,강화(서울경기),2020-07-03,0.3
201,강화(서울경기),2020-07-04,0.8
201,강화(서울경기),2020-07-10,32.7
201,강화(서울경기),2020-07-12,2.6
201,강화(서울경기),2020-07-13,47.4
201,강화(서울경기),2020-07-14,7.4
201,강화(서울경기),2020-07-15,0.0
201,강화(서울경기),2020-07-19,14.1
201,강화(서울경기),2020-07-20,7.9
201,강화(서울경기),2020-07-22,5.8
201,강화(서울경기),2020-07-23,106.1
201,강화(서울경기),2020-07-24,6.5
201,강화(서울경기),2020-07-25,0.0
201,강화(서울경기),2020-07-27,2.5
201,강화(서울경기),2020-07-29,25.9
98,동두천(서울경기),2020-06-24,48.4
98,동두천(서울경기),2020-06-25,10.6
98,동두천(서울경기),2020-06-26,1.6
98,동두천(서울경기),2020-06-29,4.7
98,동두천(서울경기),2020-06-30,57.1
98,동두천(서울경기),2020-07-01,0.5
98,동두천(서울경기),2020-07-03,0.0
98,동두천(서울경기),2020-07-04,0.2
98,동두천(서울경기),2020-07-10,40.0
98,동두천(서울경기),2020-07-11,0.1
98,동두천(서울경기),2020-07-12,0.8
98,동두천(서울경기),2020-07-13,15.5
98,동두천(서울경기),2020-07-14,10.0
98,동두천(서울경기),2020-07-18,8.0
98,동두천(서울경기),2020-07-19,20.4
98,동두천(서울경기),2020-07-20,2.7
98,동두천(서울경기),2020-07-21,0.2
98,동두천(서울경기),2020-07-22,1.8
98,동두천(서울경기),2020-07-23,95.2
98,동두천(서울경기),2020-07-24,7.8
98,동두천(서울경기),2020-07-26,1.1
98,동두천(서울경기),2020-07-27,2.5
98,동두천(서울경기),2020-07-28,0.0
98,동두천(서울경기),2020-07-29,36.2
98,동두천(서울경기),2020-07-30,0.3
102,백령도(서울경기),2020-06-24,79.1
102,백령도(서울경기),2020-06-25,2.2
102,백령도(서울경기),2020-06-27,0.5
102,백령도(서울경기),2020-06-29,17.9
102,백령도(서울경기),2020-06-30,8.1
102,백령도(서울경기),2020-07-01,0.8
102,백령도(서울경기),2020-07-02,0.0
102,백령도(서울경기),2020-07-03,0.1
102,백령도(서울경기),2020-07-04,0.0
102,백령도(서울경기),2020-07-06,0.0
102,백령도(서울경기),2020-07-12,5.3
102,백령도(서울경기),2020-07-13,8.1
102,백령도(서울경기),2020-07-14,0.0
102,백령도(서울경기),2020-07-19,78.2
102,백령도(서울경기),2020-07-20,6.4
102,백령도(서울경기),2020-07-23,71.1
102,백령도(서울경기),2020-07-24,20.7
102,백령도(서울경기),2020-07-25,0.0
102,백령도(서울경기),2020-07-27,0.1
102,백령도(서울경기),2020-07-29,0.3
102,백령도(서울경기),2020-07-30,0.0
202,양평(서울경기),2020-06-24,29.0
202,양평(서울경기),2020-06-25,5.4
202,양평(서울경기),2020-06-26,0.8
202,양평(서울경기),2020-06-27,0.0
202,양평(서울경기),2020-06-29,8.4
202,양평(서울경기),2020-06-30,39.7
202,양평(서울경기),2020-07-01,0.0
202,양평(서울경기),2020-07-03,0.0
202,양평(서울경기),2020-07-04,0.5
202,양평(서울경기),2020-07-10,0.1
202,양평(서울경기),2020-07-12,4.1
202,양평(서울경기),2020-07-13,32.2
202,양평(서울경기),2020-07-14,9.7
202,양평(서울경기),2020-07-15,1.7
202,양평(서울경기),2020-07-17,2.2
202,양평(서울경기),2020-07-19,13.2
202,양평(서울경기),2020-07-20,1.6
202,양평(서울경기),2020-07-21,0.1
202,양평(서울경기),2020-07-22,9.0
202,양평(서울경기),2020-07-23,73.7
202,양평(서울경기),2020-07-24,0.5
202,양평(서울경기),2020-07-26,0.0
202,양평(서울경기),2020-07-27,1.1
202,양평(서울경기),2020-07-28,1.7
202,양평(서울경기),2020-07-29,25.5
202,양평(서울경기),2020-07-30,1.7
203,이천(서울경기),2020-06-24,16.0
203,이천(서울경기),2020-06-25,5.9
203,이천(서울경기),2020-06-26,1.4
203,이천(서울경기),2020-06-27,0.0
203,이천(서울경기),2020-06-29,21.6
203,이천(서울경기),2020-06-30,32.2
203,이천(서울경기),2020-07-01,1.8
203,이천(서울경기),2020-07-03,0.5
203,이천(서울경기),2020-07-04,0.7
203,이천(서울경기),2020-07-07,0.0
203,이천(서울경기),2020-07-10,0.3
203,이천(서울경기),2020-07-12,5.1
203,이천(서울경기),2020-07-13,61.0
203,이천(서울경기),2020-07-14,18.4
203,이천(서울경기),2020-07-15,0.3
203,이천(서울경기),2020-07-17,3.9
203,이천(서울경기),2020-07-19,8.8
203,이천(서울경기),2020-07-20,2.1
203,이천(서울경기),2020-07-22,76.1
203,이천(서울경기),2020-07-23,86.3
203,이천(서울경기),2020-07-24,5.4
203,이천(서울경기),2020-07-25,0.1
203,이천(서울경기),2020-07-27,0.2
203,이천(서울경기),2020-07-28,3.3
203,이천(서울경기),2020-07-29,76.4
203,이천(서울경기),2020-07-30,63.3
99,파주(서울경기),2020-06-24,71.2
99,파주(서울경기),2020-06-25,10.8
99,파주(서울경기),2020-06-26,1.9
99,파주(서울경기),2020-06-29,6.0
99,파주(서울경기),2020-06-30,33.7
99,파주(서울경기),2020-07-01,0.2
99,파주(서울경기),2020-07-03,0.1
99,파주(서울경기),2020-07-04,0.8
99,파주(서울경기),2020-07-10,35.3
99,파주(서울경기),2020-07-12,1.6
99,파주(서울경기),2020-07-13,23.6
99,파주(서울경기),2020-07-14,12.4
99,파주(서울경기),2020-07-16,0.1
99,파주(서울경기),2020-07-18,0.0
99,파주(서울경기),2020-07-19,17.4
99,파주(서울경기),2020-07-20,6.3
99,파주(서울경기),2020-07-22,0.0
99,파주(서울경기),2020-07-23,94.7
99,파주(서울경기),2020-07-24,5.4
99,파주(서울경기),2020-07-25,0.0
99,파주(서울경기),2020-07-26,0.0
99,파주(서울경기),2020-07-27,6.3
99,파주(서울경기),2020-07-29,25.9
99,파주(서울경기),2020-07-30,0.0
105,강릉(강원영동),2020-06-24,13.8
105,강릉(강원영동),2020-06-27,0.1
105,강릉(강원영동),2020-06-29,2.2
105,강릉(강원영동),2020-06-30,250.0
105,강릉(강원영동),2020-07-01,6.7
105,강릉(강원영동),2020-07-04,0.5
105,강릉(강원영동),2020-07-08,0.4
105,강릉(강원영동),2020-07-10,22.5
105,강릉(강원영동),2020-07-11,8.2
105,강릉(강원영동),2020-07-12,0.7
105,강릉(강원영동),2020-07-13,49.0
105,강릉(강원영동),2020-07-14,42.2
105,강릉(강원영동),2020-07-15,0.0
105,강릉(강원영동),2020-07-19,0.0
105,강릉(강원영동),2020-07-20,0.0
105,강릉(강원영동),2020-07-23,30.1
105,강릉(강원영동),2020-07-24,121.8
105,강릉(강원영동),2020-07-25,54.5
105,강릉(강원영동),2020-07-26,4.8
105,강릉(강원영동),2020-07-27,1.5
105,강릉(강원영동),2020-07-28,3.9
105,강릉(강원영동),2020-07-29,19.4
105,강릉(강원영동),2020-07-30,9.7
104,북강릉(강원영동),2020-06-24,20.0
104,북강릉(강원영동),2020-06-25,0.0
104,북강릉(강원영동),2020-06-27,0.1
104,북강릉(강원영동),2020-06-29,2.6
104,북강릉(강원영동),2020-06-30,217.0
