년월,폭염일수,평균 최고기온(℃)
2011-01,0.0,0.5
2011-02,0.0,7.9
2011-03,0.0,10.5
2011-04,0.0,17.4
2011-05,0.0,22.8
2011-06,0.9,27.1
2011-07,2.8,28.9
2011-08,2.9,29.2
2011-09,0.9,26.4
2011-10,0.0,20.2
2011-11,0.0,15.9
2011-12,0.0,5.5
2012-01,0.0,3.8
2012-02,0.0,4.7
2012-03,0.0,10.7
2012-04,0.0,18.8
2012-05,0.0,24.5
2012-06,0.3,27.3
2012-07,6.1,29.7
2012-08,8.6,30.7
2012-09,0.0,25.2
2012-10,0.0,21.0
2012-11,0.0,11.7
2012-12,0.0,3.0
2013-01,0.0,3.2
2013-02,0.0,5.8
2013-03,0.0,13.5
2013-04,0.0,16.4
2013-05,0.2,24.1
2013-06,0.4,27.7
2013-07,4.9,30.2
2013-08,13.0,32.3
2013-09,0.1,26.4
2013-10,0.0,21.7
2013-11,0.0,12.6
2013-12,0.0,6.4
2014-01,0.0,6.3
2014-02,0.0,7.9
2014-03,0.0,13.5
2014-04,0.0,19.8
2014-05,1.3,25.0
2014-06,0.2,26.8
2014-07,4.9,29.7
2014-08,1.0,27.7
2014-09,0.0,26.5
2014-10,0.0,21.2
2014-11,0.0,14.5
2014-12,0.0,4.3
2015-01,0.0,5.5
2015-02,0.0,7.3
2015-03,0.0,13.5
2015-04,0.0,18.6
2015-05,0.4,25.1
2015-06,0.6,27.1
2015-07,3.2,28.7
2015-08,5.9,30.2
2015-09,0.0,26.2
2015-10,0.0,21.5
2015-11,0.0,14.1
2015-12,0.0,8.2
2016-01,0.0,3.7
2016-02,0.0,7.0
2016-03,0.0,13.3
2016-04,0.0,20.2
2016-05,0.0,25.1
2016-06,0.2,27.2
2016-07,5.5,29.7
2016-08,16.7,32.0
2016-09,0.0,26.2
2016-10,0.0,20.7
2016-11,0.0,13.2
2016-12,0.0,8.2
2017-01,0.0,5.5
2017-02,0.0,7.3
2017-03,0.0,12.6
2017-04,0.0,20.3
2017-05,0.5,25.4
2017-06,1.7,27.8
2017-07,6.4,30.6
2017-08,5.8,29.9
2017-09,0.0,26.3
2017-10,0.0,21.0
2017-11,0.0,12.9
2017-12,0.0,5.0
2018-01,0.0,3.0
2018-02,0.0,5.6
2018-03,0.0,14.3
2018-04,0.1,19.6
2018-05,0.0,23.4
2018-06,1.6,27.8
2018-07,15.5,31.6
2018-08,14.3,32.2
2018-09,0.0,25.3
2018-10,0.0,19.1
2018-11,0.0,14.4
2018-12,0.0,6.3
2019-01,0.0,6.2
2019-02,0.0,8.0
2019-03,0.0,13.8
2019-04,0.0,18.0
2019-05,0.7,25.5
2019-06,0.7,26.8
2019-07,3.4,29.1
2019-08,9.0,31.0
2019-09,0.0,26.5
2019-10,0.0,21.4
2019-11,0.0,15.1
2019-12,0.0,8.1
2020-01,0.0,7.7
2020-02,0.0,9.1
2020-03,0.0,14.1
2020-04,0.0,17.2
2020-05,0.0,23.2
2020-06,2.0,28.0
2020-07,0.1,26.3
2020-08,6.4,30.7
2020-09,0.0,25.1
2020-10,0.0,20.2
2020-11,0.0,14.3
2020-12,0.0,6.3
2021-01,0.0,4.7
2021-02,0.0,9.6
2021-03,0.0,14.9
2021-04,0.0,19.4
2021-05,0.0,
2021-06,0.0,
2021-07,0.0,
2021-08,0.0,
2021-09,0.0,
2021-10,0.0,
2021-11,0.0,
2021-12,0.0,
