"관할경찰서","발생건수","사상자수","중상자수","경상자수"
"P1",4,4,3,1
"P2",4,4,3,1
"P3",4,4,2,2
"P4",4,5,3,2
"P5",4,4,2,1
"P6",4,4,4,0
"P7",5,5,0,5
"P8",4,4,3,1
"P9",4,5,4,1
"P10",4,4,1,2
"P11",7,8,4,4
"P12",8,9,4,5
"P13",4,4,3,0
"P14",5,6,4,2
"P15",4,4,2,2
"P16",5,5,2,2
"P17",4,4,2,1
"P18",6,7,3,3
"P19",7,7,6,1
"P20",5,5,3,2
"P21",5,5,1,3
"P22",6,6,4,0
"P23",5,5,2,3
"P24",5,5,4,1
"P25",8,8,6,2
"P26",4,5,3,2
"P27",4,4,3,0
"P28",4,4,3,0
"P29",4,5,4,0
"P30",5,8,5,3
"P31",5,5,2,1
"P32",5,6,2,4
"P33",4,5,3,2
"P34",6,6,2,3
"P35",7,7,5,2
"P36",8,8,5,3
"P37",4,5,2,3
"P38",7,7,6,1
"P39",14,16,8,7
"P40",7,7,2,4
"P41",8,11,5,5
"P42",4,4,3,1
"P43",6,6,6,0
"P44",4,4,4,0
"P45",4,4,4,0
"P46",4,4,1,2
"P47",6,6,2,3
"P48",4,4,2,1
"P49",7,9,4,4
"P50",4,4,2,2
"P51",6,7,4,3
"P52",8,9,5,4
"P53",15,16,12,2
"P54",9,10,5,4
"P55",12,12,6,4
"P56",5,5,4,1
"P57",4,5,1,4
"P58",4,4,1,2
"P59",4,4,2,2
"P60",7,7,5,1
"P61",4,4,3,1
"P62",3,3,1,0
"P63",4,4,1,3
"P64",4,4,3,0
"P65",5,5,4,1
"P66",4,6,3,3
"P67",4,4,1,1
"P68",4,4,1,3
"P69",5,5,3,1
"P70",5,5,5,0
"P71",10,10,6,3
"P72",7,8,4,4
"P73",8,8,3,4
"P74",4,4,3,0
"P75",4,4,4,0
"P76",4,4,2,2
"P77",4,4,2,2
"P78",20,20,12,6
"P79",4,4,2,1
"P80",6,6,3,3
"P81",4,4,2,2
"P82",4,4,1,2
"P83",4,4,1,2
"P84",4,4,2,1
"P85",4,7,1,4
"P86",4,4,3,1
"P87",5,5,3,1
"P88",4,5,2,1
"P89",5,5,5,0
"P90",5,6,3,3
"P91",5,6,2,2
"P92",6,6,3,3
"P93",6,6,4,2
"P94",4,4,2,1
"P95",7,7,5,2
"P96",6,8,4,4
"P97",7,7,2,3
"P98",6,6,4,1
"P99",7,8,6,2
"P100",6,6,2,3
"P101",10,11,3,8
"P102",8,8,6,1
"P103",7,7,0,7
"P104",9,9,5,4
"P105",4,7,3,3
"P106",9,10,5,4
"P107",9,9,6,1
"P108",10,10,6,2
"P109",4,4,2,2
"P110",5,6,0,6
"P111",9,9,6,2
"P112",6,6,4,1
"P113",6,7,6,0
"P114",4,5,2,0
"P115",5,7,5,1
"P116",6,6,4,2
"P117",7,7,4,2
"P118",10,11,8,3
"P119",9,9,6,2
"P120",7,7,4,3
"P121",10,13,10,3
"P122",8,11,6,4
